name,lng,lat,address,isConnected,dcNum,acNum,s_idx,chg_points
城中雅苑充电站,114.04744959776949,22.534152858715707,深圳市福田区新洲路与福华三路交汇处城中雅苑小区地下停车场,True,2,0,4833,2
南山区创新大厦地下停车场,113.91860981891348,22.547267839290544,深圳市南山区马家龙创新大厦,False,0,75,3661,75
福田运发汽修大楼充电站,114.04931798416676,22.566171873959497,深圳市福田区上梅林梅村路4号运发汽修大楼,True,2,0,3572,2
宝安机场充电站,113.8108140211435,22.62789096430515,深圳市宝安区领航一路宝安机场P1停车场B区外侧,True,56,0,3527,56
彩悦大厦充电站,114.02788133451044,22.618198880223453,深圳市龙华区留仙大道24号彩悦大厦地面停车场,True,2,0,2608,2
翠枫充电站,114.09889601175747,22.61256650797702,深圳市龙岗区布吉街道石龙坑新村停车场,True,52,0,2226,52
马家龙艺园充电站,113.92283353790292,22.554705796544937,深圳市南山区艺园路163号附近,True,91,0,1909,91
国皇大厦充电站,114.05925533045028,22.530716511774315,深圳市福田区金田路与滨河大道交汇处东南侧国皇大厦,True,2,0,1752,2
翠山充电站,114.11790541994512,22.58358053503482,深圳市罗湖区翠山路65号比亚迪华集祥修理厂首层,True,45,0,1733,45
福田区委充电站,114.05060996554192,22.525563229943064,深圳市福田区福民路123号福田区委礼堂门口,True,5,0,1709,5
宝安老国际一期充电站,113.80902640618254,22.62652497155861,深圳市宝安区老国际一期,False,0,16,1667,16
罗湖区桐景花园充电站,114.16874531339724,22.562073871078795,深圳市罗湖区港莲路18号地下停车场负一层,False,0,28,1617,28
福田城建购物公园北园充电站,114.04920389989316,22.539077184663316,深圳市福田区城建购物公园北园地下停车场负一层,False,0,148,1405,148
龙岗布吉供电分局充电站,114.1219172029705,22.608604456836986,深圳市龙岗区布吉供电分局,True,7,0,1404,7
莲花山公园西门,114.04525605489329,22.55245598731304,深圳市福田区莲花山公园西门停车场,True,31,0,1366,31
比亚迪竹子林充电站,114.00245695955633,22.53720521543884,广东省深圳市福田区竹子林四路与紫竹六道交叉口西南100米（导航地点：竹子林的士码头）,True,40,0,1362,40
东湖宾馆充电站,114.14021042227871,22.57647599012413,深圳市罗湖区沙湾路东湖宾馆,True,38,0,1246,38
罗湖深房广场充电站,114.11278939406505,22.544189537954555,深圳市罗湖区人民南路3005号深房广场,False,0,10,1181,10
罗湖体育馆充电站,114.14662460940812,22.55808549823453,深圳市罗湖区罗沙公路经二路48号罗湖体育馆地下停车场,True,2,0,1114,2
罗湖金穗居小区充电站,114.11553215274036,22.58604498430688,深圳市罗湖区东晓街道办事处金稻田路1147号金穗居小区地面停车场,True,6,0,1111,6
宝安宝兴花园充电站,113.87282804954864,22.59048690138802,深圳市宝安区西乡宝民二路宝兴花园,True,2,0,1012,2
罗湖深港豪苑充电站,114.10484157622342,22.552702702802677,深圳市罗湖区C437W437宝安路深港豪苑配电房,False,0,24,976,24
布吉街道办充电站,114.1227666693787,22.611294020714706,深圳市龙岗区政清路1号,True,53,0,975,53
罗湖城市东座充电站,114.16487380979474,22.562132551010336,深圳市罗湖区莲塘港莲路22号城市东座地下停车场,False,0,8,935,8
华侨大厦,114.11132696451696,22.531297137399516,深圳市罗湖区和平路1043号,True,3,0,925,3
罗湖祥和花园一期充电站,114.16396717701704,22.564852591434263,广东省深圳市罗湖区聚宝路26号祥和花园一期地下停车场负一层,False,0,10,908,10
罗湖东方尊峪充电站,114.10263784035216,22.554008595637463,深圳市罗湖区长岭路东方尊峪1、2、6、8栋,False,0,132,827,132
比亚迪侨城北充电站（只对纯电动出租车开放）,113.98740556571848,22.56060917681817,广东省深圳市南山区侨城北充电站,True,40,0,792,40
清水河充电站,114.10119238108147,22.582195299634957,深圳市罗湖区清水河红岗路1088-1号附近,True,53,0,763,53
公园里充电站,114.15100559590633,22.60994211372453,深圳市龙岗区樟富北路8号,True,2,0,750,2
联合广场充电站,114.0641704105636,22.532537573469323,深圳市福田区滨河大道5022号,True,1,0,728,1
安达运输充电站,113.91312324280574,22.494264309973214,深圳市南山区荔园路与工业五路交汇处北侧深圳市安达运输有限公司工业园内,True,10,0,719,10
罗湖田心裕田大楼充电站,114.0967340144253,22.566062850275653,深圳市罗湖区宝岗路217号,False,0,10,637,10
嘉里建设广场充电站,114.0527455561718,22.538029749591324,深圳市福田区福田中心区中心4路1号,True,22,0,634,22
民乐P+R充电站扩建工程,114.04626567596152,22.59403229481272,深圳市龙华区民乐地铁站东南社会停车场,True,172,0,630,172
布吉街道办充电站,114.12924655878057,22.617516170323235,广东省深圳市龙岗区广场路28,False,0,53,629,53
天威花园充电站,114.06036741927434,22.56069082810234,深圳市福田区彩田北路6001号天威花园地面停车场,True,4,0,624,4
梅林运发综合楼充电站,114.0250429356533,22.562372380153,深圳市福田区梅林街道北环大道7030号运发梅林综合楼,True,28,0,624,28
坪山停车塔交流充电站（只对已在BYD备案的纯电动车开放）,114.3551041748554,22.67988131702486,深圳比亚迪汽车工业有限公司,True,23,0,614,23
沙湾充电站,114.15733199861508,22.615741767343437,深圳市龙岗区南湾街道沙平北路66号沙湾汽车站,True,30,0,594,30
深圳罗湖福德花园,114.12837813608397,22.54909499632506,深圳市罗湖区深南东路1110号福德花园,True,2,0,575,2
福田区竹子林紫竹三路路边桩充电站,114.00101354938369,22.53793153552606,广东省深圳市福田区竹子林紫竹三路,True,4,0,570,4
