name,longitude,latitude,address,isConnected,dcNum,acNum
南山荔香公园充电站,104.130927,35.774267,深圳南山荔香公园,False,0,24
坪地汽车站充电站,114.322093,22.781008,广东省深圳市龙岗区富坪路20,False,0,58
坪地充电站,114.31534099999999,22.775516,深圳市龙岗区坪地街道富坪中路17号,True,10,0
坪地汽车站充电站,114.31534099999999,22.775516,深圳市龙岗区坪地街道富坪中路17号,True,21,0
龙岗坪地供电分局充电站,114.30886000000001,22.773179000000003,深圳市龙岗区坪地供电分局,True,8,0
坪地启创/慢充,114.300278,22.763439,广东省深圳市龙岗区深惠路坪地段40,False,0,2
光明西田网格中心停车场充电站,113.90141200000001,22.79948,深圳市光明新区西田村网格中心停车场,True,12,0
光明西田村民委员会停车场充电站,113.900594,22.798961,深圳市光明新区西田村西田村委停车场,True,10,0
坪地启创充电站,114.293755,22.757753,深圳市龙岗区龙岗区龙岗大道（坪地段）1034号,True,10,0
龙岗坪地坪西社区公园充电站,114.27231299999998,22.75936,深圳市龙岗区坪地坪西社区公园,False,0,17
光明新区西田村金三角停车场充电站,113.953649,22.78651,深圳市光明新区西田金三角停车场,True,6,0
光明中山大学附属第七医院停车场充电站,113.953649,22.78651,深圳市光明新区光侨路与圳美大道交汇处中山大学第七附属医院内,False,0,144
万马爱充坪山石田路站,114.36164,22.7485,深圳市坪山区坑梓街道石田路32号,True,44,4
坪山生物医药创新产业园一期充电站,114.40118500000001,22.739658,深圳市坪山区锦绣西路生物医药产业园,True,21,0
坪山生物医药创新产业园充电站,114.40118500000001,22.739658,深圳市坪山区锦绣西路生物医药产业园,True,23,0
坪山生物医药创新产业园二期充电站,114.40118500000001,22.739658,深圳市坪山区锦绣西路生物医药产业园,True,42,0
坪山坑梓基地充电站,114.359454,22.740387,深圳市坪山区坑梓新发街32号（原坑梓供电所）,True,6,0
龙西充电站,114.252277,22.748995999999998,广东省深圳市龙岗区对面岭东路11号,False,0,36
光明新区公明振明路122号天虹商场（公明）停车场,113.89296599999999,22.782076999999997,深圳市光明新区公明振明路122号天虹商场（公明）停车场,True,19,0
公明天虹充电站,113.893204,22.781855,深圳市光明区光明区公明街道振明路天虹商场(公明店),True,19,0
宝能科技园北区地上停车场充电站,114.06539699999999,22.674232999999997,深圳市龙华新区宝能科技园北区地上停车场,True,24,0
龙华宝能科技园北区充电站,114.06388899999999,22.674198,深圳市龙华清祥路宝能北区科技园地下室,False,0,150
永湖充电站,114.233052,22.65865,深圳市龙岗区横坪公路114号,True,4,0
清湖公交充电站-专用,114.033051,22.677063,深圳市龙华区清华路总站,True,28,0
凤凰雁盟充电站,113.842448,22.695567,深圳市宝安区岑下路与集资路交叉口南150米,True,42,0
宝能科技园南区地上停车场充电站,114.06313999999999,22.673506,深圳市龙华新区宝能科技园南区地上停车场,True,60,0
同胜充电站,113.98390500000001,22.680757999999997,深圳市龙华区大浪华辉路3号同胜科技大厦旁,True,11,0
石岩官田停车场充电站,113.93986699999999,22.683895,深圳市宝安区田心大道与田心路交叉口东150米,True,20,0
大浪充电站,113.99839399999999,22.677512,深圳市龙华区大浪华昌路239号,True,7,0
石岩汽车站西广场充电站,113.92858999999999,22.683968,深圳市宝安区宝石西路石岩汽车站西广场,True,16,0
石岩汽车站东广场充电站,113.928598,22.683936,深圳市宝安区宝石西路石岩汽车站东广场,True,22,0
宝安凤凰西区充电站,113.838944,22.692693,深圳市宝安区福永街道办凤凰西区305号,True,11,0
石岩丽枫充电站,113.92813899999999,22.683507000000002,深圳市宝安区宝石西路39号丽枫酒店停车场内,True,16,0
万马爱充清湖社会站,114.040575,22.671733,深圳市龙华区和平路1号（富多肯工业园内）,True,8,0
横岗189充电站,114.21116299999998,22.655835999999997,深圳市龙岗区横岗街道189工业区广达路,True,16,0
宝安福安广场充电站,113.82127,22.69351,广东省深圳市宝安区福永街道大洋路边福安广场内,False,0,4
清湖充电站,114.0418,22.671101,深圳市龙华区新业一路4号,True,40,0
横岗信义充电站,114.21765,22.65439,广东省深圳市龙岗区保康路66号,False,0,19
宝安立新湖公共停车场充电站,113.875386,22.686071,深圳市宝安区福海街道桥头社区稔山二路8号，立新湖水库旁,True,12,0
宝安福海街道大洋社区停车场充电站,113.81659599999999,22.691954,广东省深圳市宝安区福海街道大洋社区停车场,True,12,0
坂田佳兆业充电站,114.084402,22.665178,广东省深圳市龙岗区宝吉路,False,0,87
石岩文体中心充电站,113.95089399999999,22.677653,广东省深圳市宝安区育才路,False,0,25
宝安福安公司第二工业城充电站,113.815527,22.69102,广东省深圳市宝安区福永街道福安第二工业区停车场,True,24,0
深圳宝安福永锐明工业园充电站,113.78771,22.69303,深圳市宝安区福永福海街道和秀西路44号锐明工业园,True,6,0
深圳龙华区龙观路充电站,114.028159,22.667844,广东省深圳市龙华区龙观东路249号（鑫富实业旁）,True,40,0
信伟大厦充电站,114.023251,22.667503,深圳市龙华区龙华街道建辉路121号信伟大厦负一层,True,5,0
坂田中电绿源充电站-专用,114.06713,22.662784,深圳市龙岗区居里夫人大道与坂李大道交叉路口西200米,True,34,0
横岗振业城充电站,114.18676,22.651582,广东省深圳市龙岗区埔园路,False,0,41
横岗信义充电站,114.21125,22.649281,深圳市龙岗区横岗街道信义御城豪园小区,True,28,0
深圳龙华金源大厦充电站,114.02248300000001,22.666759,深圳市龙华区龙华街道昌永路12号金源大厦,True,6,0
银湖充电站,114.020653,22.666099,深圳市罗湖区北环大道1022号,True,19,0
龙岗横岗供电分局充电站,114.211583,22.648269,深圳市龙岗区横岗供电分局,True,6,0
雪象充电站,114.082075,22.659983,广东省深圳市龙岗区宝吉路,False,0,54
上李朗充电站-专用,114.125796,22.655595,深圳市龙岗区布吉平吉大道洲腾工业园,True,34,0
雪象直流快充站,114.08200000000001,22.659423,广东省深圳市龙岗区雪岗南路135号,False,0,16
天安云谷充电站,114.06872800000001,22.660577,深圳市龙岗区坂云路与居里夫人大道交叉口东北150米天安云谷3栋C座1楼,True,2,0
石岩文体中心充电站,113.944096,22.672152,深圳市宝安区石岩街道育才路石岩文体艺术中心,True,25,0
大润发充电站,114.038206,22.662873,广东省深圳市龙华区和平路大润发,False,0,52
坂田佳兆业充电站,114.076462,22.658565,深圳市龙岗区坂田6号路东侧佳兆业中央广场三期公交首末站,True,50,0
凤凰山公园充电站,113.84992441799999,22.6802661094,深圳市宝安区福永街道凤凰村凤凰山森林公园停车场内,True,10,0
万马爱充大康路328工业区站,114.221078,22.644414,深圳市龙岗区横岗街道328工业园内,True,42,3
长丰酒店充电站,113.92125700000001,22.672396,深圳市宝安区石岩街道长丰花园酒店地面停车场,True,9,0
万马爱充金龙华广场站,114.01716,22.662229999999997,深圳市龙华区龙观西路3号,True,10,7
世峰大厦充电站,113.806929,22.682726000000002,深圳市宝安区宝安大道6267号世峰大厦,True,14,0
六约充电站,114.180434,22.646119,深圳市龙岗区横岗街道埔园路,True,40,0
横岗振业城充电站,114.180438,22.645770000000002,深圳市龙岗区横岗街道埔园路,True,41,0
恒胜亿充电站,113.895436,22.672567,深圳市宝安区料坑大道与洲石公路交叉150米恒胜亿物流园内,True,12,0
平湖海吉星充电站-专用,114.16405900000001,22.646097,深圳市龙岗区平湖海吉星农产品物流园丹农路1号6栋C区2楼平层,True,0,0
坂田雪象充电站,114.07561299999999,22.654157,深圳市龙岗区坂田街道坂田6号路北侧,True,68,0
家顺康食品充电站,114.151338,22.646628,深圳市龙岗区平湖街道横东岭路,True,2,0
横岗宝丽酒店充电站,114.19544099999999,22.640705,深圳市龙岗区横岗街道龙岗大道宝丽酒店,True,20,0
龙华文艺中心充电站,114.04100600000001,22.654575,深圳市龙华区梅龙大道与东环二路交汇处龙华文化艺术中心深圳望野博物馆附近,True,34,0
大康社区充电站,114.222057,22.637837,深圳市龙岗区沙荷路与宝华路交汇处东北侧横岗大康辛塘大黄工业区内,True,10,0
立新湖充电站,113.813553,22.676299,深圳市宝安区福洲大道与立新路交叉口东100米,True,30,0
望牛亭公园充电站,113.81626999999999,22.675923,深圳市宝安区福永街道福洲大道望牛亭公园,True,10,0
盐田东部华侨城茵特拉根酒店充电站,114.276131,22.631079,深圳市盐田区大梅沙东部华侨城深圳东部华侨城茵特拉根酒店-地下停车场内,True,5,0
天格科技园充电站,113.92925600000001,22.663365,深圳市宝安区国泰路与罗租工业大道交叉口南100米,True,6,0
盐田东部华侨城茶溪谷充电站,114.28015,22.63062,深圳市盐田区东部华侨城黑森林酒店附近东部华侨城茶溪谷-停车场,True,10,0
中阳商务大厦充电站,113.807115,22.675935,深圳市宝安区福永街道福洲大道24号中阳商务大厦,True,1,0
盐田东部华侨城黑森林酒店充电站,114.278396,22.63055,深圳市盐田区大梅沙东部华侨城内&nbsp;东部华侨城-国际宴会厅（侧面）,True,8,0
横岗安良充电站,114.225918,22.631519,广东省深圳市龙岗区辛田路,False,0,78
江灏科技园充电站,114.07868300000001,22.644141,深圳市龙岗区吉华路430号江灏科技园停车场入口100米,True,4,0
舒适捷江灏充电站,114.078657,22.644097,深圳市龙岗区吉华路430号江灏科技园停车场入口100米,False,8,0
石岩广聚泰充电站,113.89089799999999,22.66235,深圳市宝安区石岩街道民生一路22号广聚泰工业园内,True,36,0
南湾充电站,114.15717,22.63656,深圳市龙岗区丹平快速路入口与S28水官高速入口交叉口东南150米,True,60,0
宝安福永供电分局充电站,113.82561399999999,22.666221,深圳市宝安区福永街道办翠岗西路和政丰南路交界处,False,0,6
龙华营业厅充电站,114.02173,22.645878,龙华区景龙建设路深圳供电局龙华营业厅,True,8,0
大亚湾LBA停车场充电站,114.553903,22.599644,深圳市大鹏新区大亚湾核电基地LBA停车场,True,30,0
翠岗公园充电站,113.8208119392,22.6647635856,深圳市宝安区怀德南路1321号,True,10,0
福永红树湾家具城充电站,113.829454,22.663679000000002,深圳市宝安区福永街道107国道怀德路段富邦红树湾国际家居城,True,0,0
大亚湾办公大楼停车场充电站,114.542654,22.599089000000003,深圳市大鹏新区大亚湾核电基地01办公楼B座停车场,True,5,0
盛德龙充电站,114.141501,22.632142,深圳市龙岗区S28水官高速南150米,True,102,0
安良充电站,114.21953,22.625021,深圳市龙岗区园山街道安良园区沿河路1号共速达物流园内,True,52,0
万马爱充牛栏前商业街站,114.03993,22.639789999999998,广东省深圳市龙华区工业东路83号,True,16,0
福永海鲜市场充电站,113.809816,22.662914999999998,深圳市宝安区宝安大道福永海鲜市场,True,12,0
比亚迪上水径充电站,114.10441999999999,22.633412,广东省深圳市龙岗区上水径申龙工业区,True,127,0
华雅工业园充电站,114.054077,22.637812,深圳市龙华区龙华街道华雅工业园,True,6,0
华雅工业园充电站,114.05306599999999,22.637128,深圳市龙华区龙华街道华雅工业园,True,4,0
大亚湾枫杨轩停车场充电站,114.53216699999999,22.594365,深圳市大鹏新区大亚湾核电基地枫杨轩停车场,True,6,0
大亚湾AE楼停车场充电站,114.531319,22.593552,深圳市大鹏新区大亚湾核电基地大亚湾AE楼停车场,True,5,0
龙壁工业区6栋充电站,114.054129,22.634241,深圳市龙岗区坂田街道龙壁工业区6栋1层,False,0,3
大亚湾滨海花园停车场充电站,114.534425,22.592983,深圳市大鹏新区大亚湾核电基地滨海花园停车场,True,23,0
欢乐海湾充电站,114.51944499999999,22.593485,深圳市龙岗区鹏飞路278号,True,14,0
大亚湾专家村充电站,114.532403,22.591665,深圳市大鹏新区大亚湾核电基地专家村停车场,True,6,0
中升腾泰4S充电站,114.05216100000001,22.631725,深圳市龙岗区中裕冠大道中升腾泰4S地面停车场,True,2,0
沙湾充电站,114.16885,22.618774,广东省深圳市龙岗区沙平北路66号,False,0,19
创维平面显示科技充电站,113.920629,22.64206,深圳市宝安区创业大道创维科技地面停车场,True,1,0
沙湾吉夏充电站,114.16281599999999,22.618739,深圳市龙岗区南湾街道杰克大厦,True,64,0
盐田东部华侨城瀑布酒店,114.304001,22.606274,深圳市盐田区大梅沙东部华侨城大侠谷东部华侨城瀑布酒店-地下停车场,False,0,6
东部华侨城充电站,114.30448100000001,22.603673,深圳市盐田区艺海东路东部华侨城大侠谷停车场B19区,True,16,0
互联E时代充电站-专用,114.083481,22.623306,深圳市龙岗区中兴路东150米坂田互联E时代总站,True,30,0
伟泰路充电站,113.933314,22.637889,深圳市宝安区石岩街道人石社区伟泰路23号,True,36,0
信挚工业一期充电站,114.081034,22.623074,深圳市龙岗区坂田街道中兴路信挚科技园,True,6,0
深圳机场充电站,113.81989899999999,22.649036,深圳市宝安区福永,True,10,0
宝安机场平安居充电站,113.818154,22.6489,深圳市宝安区机场平安居,False,0,24
宝安凌霄阁充电站,113.828705,22.647071,深圳市宝安区机场路凌霄阁,False,0,10
宝安企岗山花园充电站,113.828705,22.647071,深圳市宝安区机场路企岗山花园,False,0,18
盐田梅沙幼儿园充电站,114.30400300000001,22.600945,深圳市盐田区望翠路8号深圳市盐田区梅沙幼儿园（地下停车场）,False,0,2
沙湾充电站,114.16233700000001,22.612996,深圳市龙岗区南湾街道沙平北路66号沙湾汽车站,True,30,0
布吉街道办站/慢充,114.136222,22.615261,广东省深圳市龙岗区政清路,False,0,14
宝安怡安居充电站,113.829867,22.64499,深圳市宝安区怡安居,False,0,30
宝安机场老机场充电站,113.829867,22.64499,深圳市宝安区福永机场航站四路3005号,False,24,84
大鹏较场尾停车场充电站,114.49631000000001,22.584491,广东省深圳市大鹏新区大鹏街道较场尾停车场,True,41,0
丽康公交充电站-专用,113.97253799999999,22.630443,深圳市南山区西丽街道丽康路总站,True,40,0
布吉街道办充电站,114.134321,22.614817000000002,广东省深圳市龙岗区广场路28,False,0,53
宝安机场信息大厦充电站,113.827004,22.644385,深圳市宝安区机场道1011号深圳市宝安区福永机场信息大厦停车场负二楼,False,0,37
万科第五园综合充电站,114.071749,22.619867000000003,深圳市龙岗区坂雪岗大道与永香路交叉口南50米,True,42,0
宝安机场航油大厦充电站,113.825259,22.643626,深圳市宝安区机场航油大厦,True,2,0
龙岗南湾街道南岭村停车场充电站,114.152185,22.61139,深圳市龙岗区南湾街道南岭村停车场旁,False,0,35
宝安机场物业一办充电站,113.82453999999998,22.642418,深圳市宝安区机场物业一办,False,0,10
宝安机场急救中心充电站,113.824701,22.641981,深圳市宝安区机场急救中心,False,0,9
万马爱充沙湾兴华路站,114.165296,22.607782999999998,深圳市南湾街道沙湾社区兴华路11号,True,24,4
青青家园充电站,114.10095,22.613258,深圳市龙岗区布吉街道华龙路51号青青家园北区,True,48,0
布吉文博宫充电站,114.11216499999999,22.611789,广东省深圳市龙岗区八约二街38号,False,0,100
永联科技总部充电站,113.938994,22.628209,深圳市南山区松柏路白芒关百旺信工业园二区七栋,True,21,0
翠枫豪园公交充电站-专用,114.101479,22.612263000000002,深圳市龙岗区华龙路翠枫豪园总站,True,18,0
公园里充电站,114.15602700000001,22.607207,深圳市龙岗区樟富北路8号,True,2,0
八约一街,114.101951,22.6111,深圳市龙岗区布吉街道华龙路八约一街8号观光美食广场,True,17,0
布吉街道办充电站,114.127854,22.608601999999998,深圳市龙岗区政清路1号,True,53,0
宝安快件中心充电站,113.822796,22.638628,深圳市宝安区快件中心,False,0,10
翠枫充电站,114.104019,22.609892000000002,深圳市龙岗区布吉街道石龙坑新村停车场,True,52,0
彩悦大厦充电站,114.032959,22.615435,深圳市龙华区留仙大道24号彩悦大厦地面停车场,True,2,0
龙岗布吉供电分局充电站,114.12700600000001,22.605913,深圳市龙岗区布吉供电分局,True,7,0
1983创意小镇充电站,114.14825,22.60339,深圳市龙岗区南新路13-16号1983创意小镇,True,9,0
盐田梧桐变电站充电站,114.238588,22.595036999999998,深圳市盐田区永安南一街2号盐田梧桐变电站,True,2,0
坂田星河雅宝充电站,114.066854,22.610617,广东省深圳市龙岗区雅南路,False,0,49
深圳市龙岗区南岭1983创意小镇,114.14920500000001,22.602531,深圳市龙岗区南湾街道南新路1983创意小镇,True,6,0
盐田北山工业区充电站,114.261553,22.591969,深圳市盐田区盐田街道盐田北山工业区,True,14,0
文博宫充电站,114.105896,22.605377,深圳市龙岗区布吉西环路文博宫停车场（立体停车场）,True,100,0
龙岗南湾街道南岭村会堂充电站,114.14533300000001,22.601069,深圳市龙岗区南湾街道南岭村会堂,False,0,20
深航总部大厦充电站,113.83046000000002,22.631355,深圳市宝安区机场南干道附近深航总部大厦,True,9,0
龙岗南湾街道龙山工业区充电站,114.13854199999999,22.600509,深圳市龙岗区南湾街道龙山工业区旁,False,0,55
龙山充电站,114.13788899999999,22.599757,深圳市龙岗区布吉南岭龙山工业区6号,True,7,0
盐港充电站,114.251709,22.589477,深圳市盐田区第二人民医院,True,70,0
宝安物流大厦充电站,113.833688,22.628379000000002,深圳市宝安区机场物流大厦,False,0,30
宝安机场保税大厦充电站,113.83503700000001,22.628217000000003,深圳市宝安区机场保税大厦地面停车场,False,0,15
深业U中心充电站,113.86426000000002,22.62516,深圳市宝安区鹤洲洲石路北二路深业U中心,True,10,0
坂田星河雅宝充电站,114.06,22.604216,深圳市龙岗区坂田街道星河雅宝1号地块公交首末站,True,46,0
西部硅谷充电站,113.837748,22.625747,深圳市宝安区西乡街道宝安大道深圳西部硅谷,True,14,0
福永西部硅谷充电站,113.837748,22.625747,深圳市宝安区西乡街道宝安大道深圳西部硅谷,True,14,0
七星湾充电站,114.540578,22.56258,深圳市龙岗区海碓路西100米,True,4,0
宝安机场T3航站楼充电站,113.812569,22.626195000000003,深圳市宝安区机场T3航站楼,False,0,21
宝安机场充电站,113.81586503780001,22.624960968099998,深圳市宝安区领航一路宝安机场P1停车场B区外侧,True,56,0
龙华丹晟恒丰停车场慢充充电站,114.037977,22.602346,广东省深圳市龙华区民塘路白石龙一区126号,False,0,80
麒麟山庄疗养院充电站,113.9714219799,22.608785494899998,深圳市南山区沁园路5689号麒麟山庄,True,3,0
盐田半山半海充电站-专用,114.24042,22.583476,深圳市盐田区中青路与中青一路交汇处,True,28,0
宝丽充电站,114.10876999999999,22.595212,深圳市龙岗区布吉宝丽路108号（108创业园内）,True,7,0
宝安老国际一期充电站,113.81408200000001,22.623598,深圳市宝安区老国际一期,False,0,16
西湖新村站,114.135104,22.591017,深圳市龙岗区布吉街道罗岗社区罗岗路1号西湖新村,True,2,0
盐田深圳外国语学校充电站,114.247033,22.579999,深圳市盐田区盐田路1号深圳外国语学校,True,10,0
